customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
7592,1,201,13990.93,4,4,4,444,12,STARS
14048,0,217,8976.33,4,4,4,444,12,STARS
7983,5,149,6973.07,4,4,4,444,12,STARS
19339,445,56,6552.7,3,4,4,344,11,BIG SPENDER
7931,17,62,6497.18,4,4,4,444,12,STARS
6569,7,42,4968.0,4,4,4,444,12,STARS
22279,107,13,4490.64,4,4,4,444,12,STARS
499,9,110,4378.55,4,4,4,444,12,STARS
3049,1,117,4262.85,4,4,4,444,12,STARS
15162,14,32,4234.45,4,4,4,444,12,STARS
16517,6,35,4185.1,4,4,4,444,12,STARS
2664,19,29,4100.27,4,4,4,444,12,STARS
22061,11,143,3948.9,4,4,4,444,12,STARS
13167,38,50,3898.7,4,4,4,444,12,STARS
12367,14,60,3798.24,4,4,4,444,12,STARS
14894,466,7,3363.93,3,4,4,344,11,BIG SPENDER
1077,9,49,3324.49,4,4,4,444,12,STARS
21739,28,23,3319.83,4,4,4,444,12,STARS
20917,74,49,3077.45,4,4,4,444,12,STARS
21950,5,27,2982.8,4,4,4,444,12,STARS
2908,1,32,2914.87,4,4,4,444,12,STARS
586,224,33,2849.64,3,4,4,344,11,BIG SPENDER
17337,337,11,2599.62,3,4,4,344,11,BIG SPENDER
12098,12,21,2594.33,4,4,4,444,12,STARS
8250,2,35,2582.74,4,4,4,444,12,STARS
710,5,61,2502.3,4,4,4,444,12,STARS
313,37,20,2432.29,4,4,4,444,12,STARS
16175,82,13,2417.54,4,4,4,444,12,STARS
3901,2,41,2411.53,4,4,4,444,12,STARS
22492,87,19,2388.72,4,4,4,444,12,STARS
19597,12,109,2357.57,4,4,4,444,12,STARS
22348,5,30,2356.89,4,4,4,444,12,STARS
21694,15,28,2350.5,4,4,4,444,12,STARS
17523,95,17,2280.08,4,4,4,444,12,STARS
17799,15,17,2202.11,4,4,4,444,12,STARS
10079,46,67,2200.81,4,4,4,444,12,STARS
8956,4,35,2131.02,4,4,4,444,12,STARS
5223,13,27,2125.87,4,4,4,444,12,STARS
12352,3,22,2102.92,4,4,4,444,12,STARS
7145,64,102,2079.39,4,4,4,444,12,STARS
21685,104,25,2031.06,4,4,4,444,12,STARS
1965,2,40,2010.98,4,4,4,444,12,STARS
11519,18,22,2008.91,4,4,4,444,12,STARS
10902,3,31,1966.71,4,4,4,444,12,STARS
10550,187,15,1947.11,4,4,4,444,12,STARS
5420,150,24,1943.58,4,4,4,444,12,STARS
4995,23,41,1895.73,4,4,4,444,12,STARS
4459,25,65,1867.32,4,4,4,444,12,STARS
1848,29,34,1866.68,4,4,4,444,12,STARS
9886,9,22,1850.5,4,4,4,444,12,STARS
12860,10,42,1846.34,4,4,4,444,12,STARS
7713,44,14,1805.85,4,4,4,444,12,STARS
8830,20,11,1800.17,4,4,4,444,12,STARS
16067,69,27,1787.36,4,4,4,444,12,STARS
2484,1,80,1784.36,4,4,4,444,12,STARS
411,179,20,1769.3,4,4,4,444,12,STARS
20111,13,42,1747.58,4,4,4,444,12,STARS
15779,42,25,1733.07,4,4,4,444,12,STARS
3506,358,24,1730.57,3,4,4,344,11,BIG SPENDER
2564,23,32,1726.52,4,4,4,444,12,STARS
8187,56,15,1711.28,4,4,4,444,12,STARS
8035,4,52,1708.91,4,4,4,444,12,STARS
20316,8,35,1687.52,4,4,4,444,12,STARS
8671,257,25,1678.26,3,4,4,344,11,BIG SPENDER
18614,38,16,1642.63,4,4,4,444,12,STARS
11288,44,17,1625.04,4,4,4,444,12,STARS
2066,24,23,1622.29,4,4,4,444,12,STARS
17104,5,58,1621.82,4,4,4,444,12,STARS
1412,67,5,1615.72,4,4,4,444,12,STARS
18175,8,30,1611.35,4,4,4,444,12,STARS
20250,0,17,1592.76,4,4,4,444,12,STARS
5610,12,23,1581.45,4,4,4,444,12,STARS
11628,24,26,1576.25,4,4,4,444,12,STARS
7246,13,6,1570.67,4,4,4,444,12,STARS
398,0,44,1569.33,4,4,4,444,12,STARS
9340,1,17,1556.19,4,4,4,444,12,STARS
20944,108,15,1554.08,4,4,4,444,12,STARS
14945,32,21,1549.45,4,4,4,444,12,STARS
15953,7,14,1548.28,4,4,4,444,12,STARS
18769,87,7,1546.03,4,4,4,444,12,STARS
12476,4,47,1537.78,4,4,4,444,12,STARS
5437,19,12,1536.75,4,4,4,444,12,STARS
9172,56,17,1533.61,4,4,4,444,12,STARS
8481,56,13,1525.54,4,4,4,444,12,STARS
21564,233,9,1516.32,3,4,4,344,11,BIG SPENDER
95,6,29,1515.27,4,4,4,444,12,STARS
4906,19,26,1506.32,4,4,4,444,12,STARS
7144,60,7,1498.21,4,4,4,444,12,STARS
15562,20,46,1480.11,4,4,4,444,12,STARS
8328,58,19,1460.94,4,4,4,444,12,STARS
13449,324,16,1452.44,3,4,4,344,11,BIG SPENDER
96,3,19,1445.99,4,4,4,444,12,STARS
22586,16,20,1437.64,4,4,4,444,12,STARS
20873,35,49,1437.25,4,4,4,444,12,STARS
13472,24,34,1436.24,4,4,4,444,12,STARS
21922,12,25,1428.42,4,4,4,444,12,STARS
22815,0,38,1373.14,4,4,4,444,12,STARS
2798,38,13,1358.49,4,4,4,444,12,STARS
